name,who_singed,source
Khuda Jaane,"K.K., Shilpa Rao",Bachna Ae Haseeno
Guzarish,"Sonu Nigam, Javed Ali",Ghajini
Latoo,Shreya Ghoshal,Ghajini
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu Ya Jaane Na
Pappu Can't Dance,"Benny Dayal, Naresh Iyer, Satish Subramanium, Blaaze, Tanvi Shah, Aslam, Darshana",Jaane Tu Ya Jaane Na
Nazrein Milana Nazrein Churana,"Benny Dayal, Satish Subramanium, Sayonara Philip, Swetha Bhargavi, Darshana, Blaaze, Aslam",Jaane Tu Ya Jaane Na
Pehli Nazar Mein,Atif Aslam,Race
Khwab Dekhe,"Monali Thakur, Neeraj Shridhar",Race
Zara Sa,K.K.,Jannat
Haan Tu Hain,K.K.,Jannat
Judai,Rashid Ali,Jannat
Lambi Judai,Richa Sharma,Jannat
Haule Haule,Sukhwinder Singh,Rab Ne Bana Di Jodi
Khabar Nahi,"Shreya Ghoshal, Vishal Dadlani, Shafqat Amanat Ali, Raja Hasan",Dostana

