name,who_singed,source

Lucky Boy,"Sunidhi Chauhan, Hard Kaur, Raja Hassan",Bachna Ae Haseeno
Aahista Aahista,"Lucky Ali, Shreya Ghoshal",Bachna Ae Haseeno
Jogi Mahi,"Sukhwinder Singh, Shekhar Ravjiani, Himani Kapoor",Bachna Ae Haseeno
Small Town Girl,Shankar Mahadevan,Bachna Ae Haseeno
Kuchh Khaas Hai,"Mohit Chauhan, Neha Bhasin",Fashion
Mar Jaawan,"Shruti Pathak, Salim Merchant",Fashion
Fashion Ka Jalwa,"Sukhwinder Singh, Satya Hinduja, Robert Bob Omulo",Fashion
Kaise Mujhe,"Benny Dayal, Shreya Ghoshal",Ghajini
Aye Bachchu,Suzanne D'Mello,Ghajini
Behka,Karthik,Ghajini
Latoo,Shreya Ghoshal,Ghajini
Kahin To,"Rashid Ali, Vasundhara Das",Jaane Tu Ya Jaane Na
Tu Bole Main Boloon,"A. R. Rahman, Chinmayi",Jaane Tu Ya Jaane Na
Jashn-e-Bahaara,Javed Ali,Jodhaa Akbar
Khwaja Mere Khwaja,A. R. Rahman,Jodhaa Akbar
Azeem-O-Shaan Shahenshah,"Mohammed Aslam, Bonnie Chakraborty",Jodhaa Akbar
In Lamhon Ke Daaman Mein,"Sonu Nigam, Madhushree",Jodhaa Akbar
Man Mohana,Bela Shende,Jodhaa Akbar
Race Saanson Ki,"Sunidhi Chauhan, Neeraj Shridhar",Race
Mujhpe To Jadoo,"Taz, Apache Indian, Suzanne D'Mello",Race
Door Na Ja,Rashid Ali,Jannat
Jannat Jahan,Rahat Fateh Ali Khan,Jannat
Dance Pe Chance,"Sunidhi Chauhan, Labh Janjua",Rab Ne Bana Di Jodi
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Rab Ne Bana Di Jodi
Phir Milenge Chalte Chalte,Sonu Nigam,Rab Ne Bana Di Jodi
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",Singh Is Kinng
Bas Ek Kinng,"Rahat Fateh Ali Khan, Neeraj Shridhar, Ashish Pandit",Singh Is Kinng
Jee Karda,"Labh Janjua, Suzie Q, Adnan Sami",Singh Is Kinng
Bhootni Ke,Daler Mehndi,Singh Is Kinng
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",Singh Is Kinng
Talli Hua,"Neeraj Shridhar, Labh Janjua",Singh Is Kinng
Makhna,"Mika Singh, Banjyotsna",Singh Is Kinng
Dil Haara,Sukhwinder Singh,Tashan
Chhaliya,"Piyush Mishra, Sunidhi Chauhan",Tashan
Dil Dance Maare,"Sunidhi Chauhan, Udit Narayan, Sukhwinder Singh",Tashan
Falak Tak,"Mahalakshmi Iyer, Udit Narayan",Tashan
Tashan Mein,"Vishal Dadlani, Master Saleem",Tashan
Desi Girl,"Shankar Mahadevan, Sunidhi Chauhan, Vishal Dadlani",Dostana

Jaane Kyun,Vishal Dadlani,Dostana
Maa Da Laadla,"Saleem, Shankar Mahadevan",Dostana
Shut Up & Bounce,"Vishal Dadlani, Sunidhi Chauhan",Dostana
Kuch Kum,Shaan,Dostana
Maa Da Laadla (Mummy Mix),"Saleem, Sunidhi Chauhan",Dostana
Tum Ho Toh,Farhan Akhtar,Rock On!!
Pichle Saat Dinon Mein,Farhan Akhtar,Rock On!!
Socha Hai,Farhan Akhtar,Rock On!!
Rock On!!,Farhan Akhtar,Rock On!!
Yeh Tumhari Meri Baatein,Dominique Cerejo,Rock On!!
Sindbad The Sailor,"Shankar Mahadevan, Farhan Akhtar",Rock On!!
Phir Dekhiye,Caralisa Monteiro,Rock On!!
Zehreelay,Suraj Jagan,Rock On!!
Rock On!! (Remix),Farhan Akhtar,Rock On!!
Tu Meri Dost Hai,"Benny Dayal, Shreya Ghoshal, A. R. Rahman",Yuvvraaj
Main Hoon Yuvvraaj,Salman Khan,Yuvvraaj
Tu Muskura,"Alka Yagnik, Javed Ali",Yuvvraaj
Mastam Mastam,"Sonu Nigam, Alka Yagnik, Naresh Iyer, Benny Dayal",Yuvvraaj
Shano Shano,"Sonu Nigam, Srinivas, Karthik, Timmy, Sunaina, Akriti Kakkar, Sylvester Fernandes",Yuvvraaj
Manmohini Morey,Vijay Prakash,Yuvvraaj
Dil Ka Rishta,"Sonu Nigam, Alka Yagnik",Yuvvraaj
Kyun Khoya Khoya Chand,"Sonu Nigam, Alka Yagnik",Yuvvraaj
Pyaar Ki Dastaan,"A. R. Rahman, Sonu Nigam, Alka Yagnik",Yuvvraaj
Aap Ka Kya Hoga,"A. R. Rahman, Alka Yagnik, Sonu Nigam",Yuvvraaj
Bakhuda Tumhi Ho,"Atif Aslam, Alka Yagnik",Kismat Konnection
Is This Love,"Mohit Chauhan, Shreya Ghoshal",Kismat Konnection
Move Your Body,"Shahid Mallya, Sunidhi Chauhan, Suheil Kaul, Hard Kaur",Kismat Konnection
Soniye Ve,"Sonu Nigam, Sunidhi Chauhan, Kumaar",Kismat Konnection
